,ACC,ADANIPORTS,AMBUJACEM
2008-04-11,667.85,108.8,97.3026
2008-04-14,,,97.6334
2008-04-15,666.7,114.57,95.8553
2008-04-16,660.11,113.65,92.9606
2008-04-17,655.89,111.68,93.5395
2008-04-18,,,93.4982
2008-04-21,656.54,115.04,93.95299999999999
2008-04-22,674.08,118.73,95.0282
2008-04-23,692.72,118.88,95.1523
2008-04-24,654.78,118.62,95.3177
2008-04-25,641.18,126.98,95.4831
2008-04-28,628.52,131.31,93.829
2008-04-29,635.4,132.05,95.0282
2008-04-30,621.71,135.54,94.0357
2008-05-01,,,94.2425
2008-05-02,617.66,136.7,93.4568
2008-05-05,620.36,134.52,92.2989
2008-05-06,607.58,135.14,92.1335
2008-05-07,604.91,137.03,92.1749
2008-05-08,609.95,139.35,92.3816
2008-05-09,584.22,139.75,90.6035
2008-05-12,575.78,143.99,92.3816
2008-05-13,560.25,141.37,92.3403
2008-05-14,546.98,140.72,90.5208
2008-05-15,558.61,141.01,92.4643
2008-05-16,558.33,138.3,91.5546
2008-05-19,,,91.3892
2008-05-20,557.92,157.63,89.9832
2008-05-21,565.74,160.72,88.7013
2008-05-22,557.55,157.7,86.1788
2008-05-23,546.81,152.21,84.4833
2008-05-26,536.69,158.24,79.7691
2008-05-27,537.47,155.67,80.8443
2008-05-28,548.66,149.96,86.1374
2008-05-29,537.76,148.86,80.6789
